Publication;ID;Species;PN Type;Branching Type;Glomerulus Innervation;Additional Innervation;Hemisphere;Driver;Trace Identifier
duerr2024;119;Dsec;adPN;u;VA2;;L;VT033006;BD_M153_LH_PN2_u_d
duerr2024;120;Dsec;adPN;up;VM2;VC4_VA2_VM7v;R;VT033006;BD_M154_RH_PN1_up_d
duerr2024;121;Dsec;adPN;u;DC1;;L;VT033006;BD_M155_LH_PN1_u_d
duerr2024;122;Dsec;lPN;m;ml3;;L;VT033006;BD_M155_LH_PN2_m_l
duerr2024;123;Dsec;adPN;u;DC1;;R;VT033006;BD_M157_RH_PN1_u_d
duerr2024;124;Dsec;adPN;m;md1;;R;VT033006;BD_M158_RH_PN1_m_d
duerr2024;125;Dsec;lPN;m;ml4;;R;GMR_86C10;BD_M167_RH_PN1_m_l
duerr2024;126;Dsec;lPN;u;DM2;;L;VT033006;BD_M171_LH_PN1_u_l
duerr2024;127;Dsec;lPN;u;DA1;;R;VT033006;BD_M179_RH_PN1_u_l
duerr2024;128;Dsec;lPN;u;DA1;;R;VT033006;BD_M181_RH_PN1_u_l
duerr2024;129;Dsec;lPN;u;DA1;;L;VT033006;BD_M181_LH_PN1_u_l
duerr2024;130;Dsec;lPN;u;DA1;;L;VT033006;BD_M183_LH_PN1_u_l
duerr2024;131;Dsec;lPN;u;DA1;;R;VT033006;BD_M183_RH_PN1_u_l
duerr2024;132;Dsec;lPN;u;DA1;;L;VT033006;BD_M184_LH_PN1_u_l
duerr2024;133;Dsec;adPN;u;VM5d;;R;GMR_86C10;BD_M185_RH_PN1_u_d
